Taylor Swift,A Mouse,Animals,files\Animals\animal_taylor.jpg
Taylor Swift,White Wolf,Animals,files\Animals\animal_taylor2.jpg
Taylor Swift,Birds on a Branch,Animals,files\Animals\animal_taylor3.jpg
Taylor Swift,Dog,Animals,files\Animals\animal_taylor4.jpg
Taylor Swift,Strong Eagle,Animals,files\Animals\animal_taylor5.jpg
Taylor Swift,Fishes,Animals,files\Animals\animal_taylor6.jpg
Naomi Osaka,Townhouses,Architecture,files\Architecture\picture_naomi.jpg
Naomi Osaka,Skyline,Architecture,files\Architecture\picture_naomi2.jpg
Naomi Osaka,Sunset Skyline,Architecture,files\Architecture\picture_naomi3.jpg
Naomi Osaka,Red Flowers,Flowers,files\Flowers\picture_naomi4.jpg
Naomi Osaka,Purple Flowers,Flowers,files\Flowers\picture_naomi5.jpg
Shakira,Boat in Sea,Water,files\Water\picture_shakira.jpg
Shakira,Beach Stones,Water,files\Water\picture_shakira2.jpg
Shakira,Green Water,Water,files\Water\picture_shakira3.jpg
Shakira,Aeroplane in Skyline,Architecture,files\Architecture\picture_shakira4.jpg
Shakira,White Bricks,Architecture,files\Architecture\picture_shakira5.jpg
Roger Federer,Traditional Pots,Crafts,files\Crafts\pottery_roger.jpg
Roger Federer,Minimalistic Pottery,Crafts,files\Crafts\pottery_roger2.jpg
Roger Federer,White Pots,Crafts,files\Crafts\pottery_roger3.jpg
Roger Federer,Mud Pots,Crafts,files\Crafts\pottery_roger4.jpg
Roger Federer,Pots,Crafts,files\Crafts\pottery_roger5.jpg
Scarlett Johansson,Traditional Textile,Crafts,files\Crafts\weave_scarlett.jpg
Scarlett Johansson,Lines Print,Crafts,files\Crafts\weave_scarlett2.jpg
Scarlett Johansson,Wool,Crafts,files\Crafts\weave_scarlett3.jpg
Scarlett Johansson,Color Fusion,Crafts,files\Crafts\weave_scarlett4.jpg
Leonardo DiCaprio,Peace,Paintings,files\Paintings\painting_leonardo.jpg
Leonardo DiCaprio,Modern Art,Paintings,files\Paintings\painting_leonardo2.jpg
Leonardo DiCaprio,Blues,Paintings,files\Paintings\painting_leonardo3.jpg
Leonardo DiCaprio,Flowers,Flowers,files\Flowers\picture_leonardo4.jpg
Leonardo DiCaprio,Sunflower,Flowers,files\Flowers\picture_leonardo5.jpg
Elon Musk,Royal ,Paintings,files\Paintings\painting_elon.jpg
Elon Musk,Farm,Paintings,files\Paintings\painting_elon2.jpg
Elon Musk,Black & White,Paintings,files\Paintings\painting_elon3.jpg
Elon Musk,Yello Flower,Paintings,files\Paintings\painting_elon4.jpg
Virat Kohli,Iceberg,Water,files\Water\picture_virat.jpg
Virat Kohli,Penguine,Water,files\Water\picture_virat2.jpg
Virat Kohli,Bunch of Flowers,Flowers,files\Flowers\picture_virat3.jpg
Virat Kohli,Pink Flowers,Flowers,files\Flowers\picture_virat4.jpg
